Name,Platform,Publisher,Developer,Critic_Score,User_Score,NA_Sales
Mario Kart 8 Deluxe,NS,Nintendo  ,Nintendo EPD  ,9.3,,5.05
Super Mario Bros.,NES,Nintendo  ,Nintendo EAD  ,10,8.2,29.08
Mario Kart Wii,Wii,Nintendo  ,Nintendo EAD  ,8.2,9.1,15.91
Wii Sports Resort,Wii,Nintendo  ,Nintendo EAD  ,8,8.8,15.61
Pokémon Red / Green / Blue Version,GB,Nintendo  ,Game Freak  ,9.4,,11.27
New Super Mario Bros.,DS,Nintendo  ,Nintendo EAD  ,9.1,8.1,11.28
New Super Mario Bros. Wii,Wii,Nintendo  ,Nintendo EAD  ,8.6,9.2,14.53
Super Smash Bros. Ultimate,NS,Nintendo  ,Bandai Namco Games  ,9.4,9.7,4.22
The Legend of Zelda: Breath of the Wild,NS,Nintendo  ,Nintendo EPD  ,9.9,10,4.54
Super Mario Odyssey,NS,Nintendo  ,Nintendo EPD  ,9.9,,5.1
Nintendogs,DS,Nintendo  ,Nintendo EAD  ,8.4,,9.05
Mario Kart DS,DS,Nintendo  ,Nintendo EAD  ,9.1,9.4,9.71
Pokémon Gold / Silver Version,GB,Nintendo  ,Game Freak  ,9.2,,9
Super Mario World,SNES,Nintendo  ,Nintendo EAD  ,8.5,,12.78
Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo  ,Nintendo SDD  ,8.1,,4.74
Mario Kart 7,3DS,Nintendo  ,Nintendo EAD / Retro Studios  ,8.2,,6.03
Pokémon Diamond / Pearl Version,DS,Nintendo  ,Game Freak  ,8.6,,6.38
Pokémon X/Y,3DS,Nintendo  ,Game Freak  ,8.9,9.3,5.68
Pokémon Sun/Moon,3DS,Nintendo  ,Game Freak  ,9,,6.02
Pokémon Ruby / Sapphire Version,GBA,Nintendo  ,Game Freak  ,8.8,,6.06
Pokémon Black / White Version,DS,Nintendo  ,Game Freak  ,8.6,9,5.51
Pokémon Yellow: Special Pikachu Edition,GB,Nintendo  ,Game Freak  ,8.7,,5.89
Super Smash Bros. Brawl,Wii,Nintendo  ,Project Sora  ,9.2,9.7,6.64
Splatoon 2,NS,Nintendo  ,Nintendo EPD  ,8.2,,1.9
Animal Crossing: New Leaf,3DS,Nintendo  ,Nintendo EAD  ,8.6,,2.46
Super Mario 3D Land,3DS,Nintendo  ,Nintendo EAD Tokyo  ,8.9,,5.1
Super Mario Galaxy,Wii,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.6,6.06
Pokémon Heart Gold / Soul Silver Version,DS,Nintendo  ,Game Freak  ,8.6,,4.34
Pokémon FireRed / LeafGreen Version,GBA,Nintendo  ,Game Freak  ,8.3,,4.34
Super Mario 64,N64,Nintendo  ,Nintendo EAD  ,9.7,9.2,6.91
Animal Crossing: Wild World,DS,Nintendo  ,Nintendo EAD  ,8.5,,2.5
Super Mario Land 2: 6 Golden Coins,GB,Nintendo  ,Nintendo R&D1  ,9,,6.16
Super Mario 64 DS,DS,Nintendo  ,Nintendo EAD  ,8.6,,0.01
Super Mario All-Stars,SNES,Nintendo  ,Nintendo EAD  ,,9.5,5.99
Mario Kart 64,N64,Nintendo  ,Nintendo EAD  ,8.5,,5.55
Super Smash Bros. for 3DS,3DS,Nintendo  ,Bandai Namco Games  ,8.4,,3.73
Donkey Kong Country,SNES,Nintendo  ,Rare Ltd.  ,9,,4.36
Pokémon: Ultra Sun and Ultra Moon,3DS,Nintendo  ,Game Freak  ,8.1,,2.46
Super Mario Kart,SNES,Nintendo  ,Nintendo EAD  ,10,,3.54
Pokémon Black 2 and White 2,DS,Nintendo  ,Game Freak  ,8,8.3,2.79
Mario Kart 8,WiiU,Nintendo  ,Nintendo  ,8.8,,3.22
GoldenEye 007,N64,Nintendo  ,Rare Ltd.  ,9.8,,5.8
Pokémon Platinum Version,DS,Nintendo  ,Game Freak  ,8.3,8.9,2.76
The Legend of Zelda: Ocarina of Time,N64,Nintendo  ,Nintendo EAD  ,9.9,10,4.1
Super Mario Galaxy 2,Wii,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.8,3.59
Super Smash Bros. Melee,GC,Nintendo  ,HAL Laboratory  ,9.2,,4.41
The Legend of Zelda: Twilight Princess,Wii,Nintendo  ,Nintendo EAD  ,9.5,9.6,3.74
Mario Kart: Double Dash!!,GC,Nintendo  ,Nintendo EAD  ,8.5,,4.12
Donkey Kong Country Returns,Wii,Nintendo  ,Retro Studios  ,8.6,,3.19
The Legend of Zelda,NES,Nintendo  ,Nintendo EAD  ,9,,3.74
Luigi's Mansion: Dark Moon,3DS,Nintendo  ,Next Level Games  ,8.6,,2.03
The Legend of Zelda: Ocarina of Time 3D,3DS,Nintendo  ,GREZZO  ,9.3,,1.42
Pokémon Crystal Version,GBC,Nintendo  ,Game Freak  ,8.7,,2.55
The Legend of Zelda: Link's Awakening,NS,Nintendo  ,Nintendo  ,,10,
Mario Kart: Super Circuit,GBA,Nintendo  ,Intelligent Systems  ,9.3,,2.62
Super Mario Sunshine,GC,Nintendo  ,Nintendo EAD  ,9.2,,4.01
Super Mario 3D World,WiiU,Nintendo  ,Nintendo EAD Tokyo  ,9.5,,2.31
New Super Mario Bros. U,WiiU,Nintendo  ,Nintendo EAD  ,8.4,,2.3
Super Mario World: Super Mario Advance 2,GBA,Nintendo  ,Nintendo EAD  ,9.4,,3.21
The Legend of Zelda: Ocarina of Time 3D,3DS,Nintendo  ,GREZZO  ,9.5,,2.5
Super Mario Advance,GBA,Nintendo  ,Nintendo EAD  ,8.2,,3.14
Super Smash Bros.,N64,Nintendo  ,HAL Laboratory  ,8.4,,2.95
Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo  ,Level 5  ,8.6,,0.63
Super Mario Advance 4: Super Mario Bros. 3,GBA,Nintendo  ,Nintendo EAD  ,9.2,,2.93
Super Smash Bros. for Wii U,WiiU,Nintendo  ,Bandai Namco Games  ,9.2,,2.68
Pokémon Pinball,GBC,Nintendo  ,Jupiter Corporation  ,8.7,,3.02
Donkey Kong 64,N64,Nintendo  ,Rare Ltd.  ,9.3,,3.33
Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo  ,Rare Ltd.  ,9.3,,2.1
Super Mario Bros. Deluxe,GB,Nintendo  ,Nintendo EAD  ,9.7,,3.4
Splatoon,WiiU,Nintendo  ,Nintendo EAD  ,8.4,,1.58
Diddy Kong Racing,N64,Nintendo  ,Rare Ltd.  ,8.3,,2.91
The Legend of Zelda: Phantom Hourglass,DS,Nintendo  ,Nintendo EAD  ,9.1,,1.85
The Legend of Zelda: A Link to the Past,SNES,Nintendo  ,Nintendo EAD  ,10,,2.42
Mario & Luigi: Bowser's Inside Story,DS,Nintendo  ,AlphaDream Corporation  ,9.1,,2.23
Professor Layton and the Curious Village,DS,Nintendo  ,Level 5  ,8.7,,1.21
The Legend of Zelda: The Wind Waker,GC,Nintendo  ,Nintendo EAD  ,9.6,,2.6
Animal Crossing: City Folk,Wii,Nintendo  ,Nintendo EAD  ,7.1,8.8,1.84
The Legend of Zelda: A Link Between Worlds,3DS,Nintendo  ,Nintendo EAD  ,9.3,,1.53
Super Paper Mario,Wii,Nintendo  ,Intelligent Systems  ,8.5,,1.95
Donkey Kong Country: Tropical Freeze,NS,Nintendo  ,Retro Studios  ,9.1,9.1,0.71
Super Mario World 2: Yoshi's Island,SNES,Nintendo  ,Nintendo EAD  ,9,,1.65
Super Mario Maker,WiiU,Nintendo  ,Nintendo EAD  ,8.8,,1.27
Hyrule Warriors: Age of Calamity,NS,Nintendo  ,Koei Tecmo Games  ,9,,
Star Fox 64,N64,Nintendo  ,Nintendo EAD  ,9,,2.78
Kirby Star Allies,NS,Nintendo  ,HAL Laboratory  ,8.1,10,0.75
Professor Layton and the Diabolical Box,DS,Nintendo  ,Level 5  ,8.5,,0.9
Fire Emblem: Three Houses,NS,Nintendo  ,Intelligent Systems  ,,10,
The Legend of Zelda: Skyward Sword,Wii,Nintendo  ,Nintendo EAD  ,9.4,,2.03
Banjo-Kazooie,N64,Nintendo  ,Rare Ltd.  ,9.3,9.4,1.87
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,Nintendo  ,Rare Ltd.  ,8.8,,1.17
The Legend of Zelda: Majora's Mask 3D,3DS,Nintendo  ,GREZZO  ,9,,1.2
The Legend of Zelda: Majora's Mask,N64,Nintendo  ,Nintendo EAD  ,9.3,,1.9
Yoshi's Island DS,DS,Nintendo  ,Artoon  ,8.2,,1.45
Paper Mario: The Origami King,NS,Nintendo  ,Intelligent Systems  ,,9,
Personal Trainer: Cooking,DS,Nintendo  ,Nintendo EAD  ,8.4,,0.91
Rhythm Heaven,DS,Nintendo  ,Nintendo SPD Group No.1  ,8.5,,0.55
Professor Layton and the Unwound Future,DS,Nintendo  ,Level 5  ,8.4,,0.61
The Legend of Zelda: Spirit Tracks,DS,Nintendo  ,Nintendo EAD  ,8.7,,1.4
Wave Race 64,N64,Nintendo  ,Nintendo EAD  ,9.2,,1.98
Donkey Kong Country Returns 3D,3DS,Nintendo  ,Monster Games  ,8.6,,0.81
Metroid Prime,GC,Nintendo  ,Retro Studios  ,9.6,9.5,1.96
The Legend of Zelda: A Link to the Past,GBA,Nintendo  ,"Flagship Co., Ltd. / Nintendo EAD  ",9.6,,1.75
Tetris DS,DS,Nintendo  ,Nintendo  ,8.5,,0.63
Clubhouse Games,DS,Nintendo  ,Agenda  ,8.3,,0.59
Xenoblade Chronicles 2,NS,Nintendo  ,Monolith Soft  ,8.2,9.2,0.55
The Legend of Zelda: The Wind Waker,WiiU,Nintendo  ,Nintendo EAD  ,9.3,,1.04
Fire Emblem: Awakening,3DS,Nintendo  ,Intelligent Systems  ,9,,0.9
WarioWare: Smooth Moves,Wii,Nintendo  ,Intelligent Systems  ,8.2,,0.86
Mario Tennis,N64,Nintendo  ,Camelot Software Planning  ,8.8,,0.78
Animal Crossing,GC,Nintendo  ,Nintendo EAD  ,8.3,,1.92
Classic NES Series: Super Mario Bros.,GBA,Nintendo  ,Nintendo EAD  ,8.3,,0.61
The Legend of Zelda: Link's Awakening DX,GBC,Nintendo  ,Nintendo EAD  ,9.4,,1
Donkey Kong Country,GBC,Nintendo  ,Rare Ltd.  ,9.1,,1.04
Mario & Luigi: Superstar Saga,GBA,Nintendo  ,AlphaDream Corporation  ,8.8,,1.48
Captain Toad: Treasure Tracker,NS,Nintendo  ,Nintendo EPD  ,8.1,,0.31
Kirby: Nightmare in Dream Land,GBA,Nintendo  ,HAL Laboratory  ,8.1,,1.22
Professor Layton and the Last Specter,DS,Nintendo  ,Level 5  ,8.4,,0.28
1080°: TenEighty Snowboarding,N64,Nintendo  ,Nintendo EAD  ,9.1,,1.25
Donkey Kong Country: Tropical Freeze,WiiU,Nintendo  ,Retro Studios  ,8.8,9.1,0.74
Dragon Quest Monsters: Joker 2,DS,Nintendo  ,TOSE Software  ,8.1,,0.09
The Legend of Zelda: Oracle of Ages,GBC,Nintendo  ,Flagship  ,9.4,,0.92
Paper Mario: The Thousand-Year Door,GC,Nintendo  ,Intelligent Systems  ,9,,1.48
Octopath Traveler,NS,Nintendo  ,Square Enix  ,8.1,,0.49
The Legend of Zelda: Oracle of Seasons,GBC,Nintendo  ,Flagship  ,9.3,,0.87
Kirby's Epic Yarn,Wii,Nintendo  ,Good-Feel  ,8.7,,1.42
The Legend of Zelda: The Minish Cap,GBA,Nintendo  ,Flagship  ,8.9,,0.89
Mario & Luigi: Partners in Time,DS,Nintendo  ,AlphaDream Corporation  ,8.8,,0.74
The Legend of Zelda: Breath of the Wild,WiiU,Nintendo  ,Nintendo EPD  ,10,10,0.66
Golden Sun,GBA,Nintendo  ,Camelot Software Planning  ,9.1,,0.93
Metroid Fusion,GBA,Nintendo  ,Nintendo R&D1  ,9,,1.18
Pikmin,GC,Nintendo  ,Nintendo EAD  ,8.1,,0.78
Banjo-Tooie,N64,Nintendo  ,Rare Ltd.  ,9.3,,0.82
Professor Layton and the Mask of Miracle,3DS,Nintendo  ,Level 5  ,8.4,,0.32
Mario Golf,N64,Nintendo  ,Camelot Software Planning  ,9,,0.62
The Legend of Zelda: Twilight Princess,GC,Nintendo  ,Nintendo EAD  ,9.5,,1.15
Metroid Prime 3: Corruption,Wii,Nintendo  ,Retro Studios  ,9,9.4,0.89
Bravely Default: Flying Fairy,3DS,Nintendo  ,Square Enix  ,8.2,,0.5
Paper Mario,N64,Nintendo  ,Intelligent Systems  ,9.1,,0.58
Mario Golf: Toadstool Tour,GC,Nintendo  ,Camelot Software Planning  ,8.1,,1.09
Pikmin 3,WiiU,Nintendo  ,Nintendo EAD  ,8.7,,0.47
Kirby: Mass Attack,DS,Nintendo  ,HAL Laboratory  ,8.4,,0.48
Final Fantasy,NES,Nintendo  ,Square  ,8.5,,0.32
Mario Power Tennis,GC,Nintendo  ,Camelot Software Planning  ,8.1,,0.58
The Legend of Zelda: Twilight Princess HD,WiiU,Nintendo  ,Tantalus Interactive  ,8.4,,0.67
Dragon Quest VIII: Journey of the Cursed King,3DS,Nintendo  ,Level 5 / Armor Project  ,8.8,,0.14
Punch-Out!!,Wii,Nintendo  ,Next Level Games  ,8.7,,0
Golden Sun: The Lost Age,GBA,Nintendo  ,Camelot Software Planning  ,8.3,,0.61
Pikmin 2,GC,Nintendo  ,Nintendo EAD  ,9.1,,0.48
F-Zero X,N64,Nintendo  ,Nintendo EAD  ,8.5,,0.45
Metroid Prime 2: Echoes,GC,Nintendo  ,Retro Studios  ,9.2,,0.87
Metroid Prime Hunters,DS,Nintendo  ,Nintendo Software Technology Corporation  ,8.4,,0.57
Star Fox: Assault,GC,Nintendo  ,Namco  ,6.6,8.5,0.68
F-Zero: Maximum Velocity,GBA,Nintendo  ,"Nd Cube Co., Ltd.  ",8.7,,0.39
Bayonetta 2,NS,Nintendo  ,PlatinumGames  ,9.5,,0.26
Rhythm Heaven Megamix,3DS,Nintendo  ,Nintendo  ,8.8,,
Excitebike 64,N64,Nintendo  ,Left Field Productions  ,8.9,,0.65
Fire Emblem: The Blazing Blade,GBA,Nintendo  ,Intelligent Systems  ,8.8,,0.49
Xenoblade Chronicles,Wii,Nintendo  ,Monolith Soft  ,9.3,,0.43
Fire Emblem: The Sacred Stones,GBA,Nintendo  ,Intelligent Systems  ,8.4,,0.42
Xenoblade Chronicles X,WiiU,Nintendo  ,Monolith Soft  ,8.1,,0.34
Metroid: Zero Mission,GBA,Nintendo  ,Nintendo R&D1  ,8.9,,0.6
Professor Layton vs Ace Attorney,3DS,Nintendo  ,Level 5  ,8.1,,0.2
The Legend of Zelda: Four Swords Adventures,GC,Nintendo  ,Nintendo EAD  ,8.4,,0.63
Fire Emblem Echoes: Shadows of Valentia,3DS,Nintendo  ,Intelligent Systems  ,8.3,,0.34
Kirby: Canvas Curse,DS,Nintendo  ,HAL Laboratory  ,8.9,,0.36
Blast Corps,N64,Nintendo  ,Rare Ltd.  ,9.1,,0.39
Advance Wars,GBA,Nintendo  ,Intelligent Systems  ,9.4,,0.5
F-Zero GX,GC,Nintendo  ,Amusement Vision  ,8.4,,0.41
Advance Wars 2: Black Hole Rising,GBA,Nintendo  ,Intelligent Systems  ,8.8,,0.47
New Play Control! Pikmin,Wii,Nintendo  ,Nintendo EAD  ,7.7,9.3,0.28
Metroid Prime: Trilogy,Wii,Nintendo  ,Retro Studios  ,9,9.6,0.42
Advance Wars: Days of Ruin,DS,Nintendo  ,Intelligent Systems  ,8.4,,0.43
New Play Control! Pikmin 2,Wii,Nintendo  ,Nintendo EAD  ,8.7,,0.11
Wave Race: Blue Storm,GC,Nintendo  ,Nintendo Software Technology Corporation  ,8.4,,0.4
WarioWare D.I.Y.,DS,Nintendo  ,Intelligent Systems  ,8.3,,0.17
Kirby and the Rainbow Curse,WiiU,Nintendo  ,HAL Laboratory  ,8.2,,0.26
Xenoblade Chronicles,3DS,Nintendo  ,Monolith Soft  ,8.6,,0.24
Metroid: Samus Returns,3DS,Nintendo  ,Mercury Steam  ,9.1,,0.3
Fire Emblem: Path of Radiance,GC,Nintendo  ,Intelligent Systems  ,8.6,,0.29
Fire Emblem: Shadow Dragon,DS,Nintendo  ,Intelligent Systems  ,8.2,,0.29
Fire Emblem Warriors,NS,Nintendo  ,Omega Force  ,7.3,9.6,0.22
Picross DS,DS,Nintendo  ,Jupiter Multimedia  ,8.4,,0.17
Picross 3D,DS,Nintendo  ,HAL Laboratory  ,8.7,,0.28
Fire Emblem: Radiant Dawn,Wii,Nintendo  ,Intelligent Systems  ,7.7,8.5,0.27
Mario Golf: World Tour,3DS,Nintendo  ,Camelot Software Planning  ,8.1,,0.14
Style Savvy: Styling Star,3DS,Nintendo  ,syn Sophia  ,8.5,,
Sin and Punishment: Star Successor,Wii,Nintendo  ,"Treasure Co., Ltd.  ",8.4,,0.19
Eternal Darkness: Sanity's Requiem,GC,Nintendo  ,Silicon Knights  ,9.3,,0.34
Advance Wars: Dual Strike,DS,Nintendo  ,Intelligent Systems  ,9,,0.3
Planet Puzzle League,DS,Nintendo  ,Intelligent Systems  ,8.6,,0.14
Ever Oasis,3DS,Nintendo  ,GREZZO  ,8.1,,0.13
Final Fantasy VI Advance,GBA,Nintendo  ,Square Enix  ,9.1,,
WarioWare Gold,3DS,Nintendo  ,Intelligent Systems  ,8.1,,0.11
Bayonetta 2,WiiU,Nintendo  ,PlatinumGames  ,9.3,,0.37
America's Test Kitchen: Let's Get Cooking,DS,Nintendo  ,Indies Zero  ,8.5,,0.25
Final Fantasy V Advance,GBA,Nintendo  ,Square Enix  ,8.2,,
Classic NES Series: The Legend of Zelda,GBA,Nintendo  ,Nintendo EAD  ,8.4,,
Meteos,DS,Nintendo  ,Q Entertainment  ,8.8,,0.15
Captain Toad: Treasure Tracker,3DS,Nintendo  ,Nintendo EPD  ,8.5,,0.06
"Snipperclips Plus: Cut It Out, Together!",NS,Nintendo  ,SFB Games  ,8.2,8.5,
Picross 3D Round 2,3DS,Nintendo  ,HAL Laboratory  ,8.6,,
Elite Beat Agents,DS,Nintendo  ,iNiS  ,8.4,,0.3
Paper Mario,VC,Nintendo  ,Intelligent Systems  ,9,,
Kirby's Adventure,VC,Nintendo  ,HAL Laboratory  ,8.4,,
Donkey Kong Country,VC,Nintendo  ,Rare Ltd.  ,8.1,,
Donkey Kong Country 2: Diddy's Kong Quest,VC,Nintendo  ,Rare Ltd.  ,8.8,,
Donkey Kong Country 3: Dixie Kong's Double Trouble!,VC,Nintendo  ,Rare Ltd.  ,8.5,,
Flipnote Studio,DSiW,Nintendo  ,Nintendo EAD Tokyo  ,9,,
Fluidity,WW,Nintendo  ,Curve Studios  ,8.4,,
Hamtaro: Rainbow Rescue,GBA,Nintendo  ,AlphaDream Corporation  ,8.2,,
Maboshi's Arcade,WW,Nintendo  ,Nintendo  ,8.5,,
Mario vs. Donkey Kong: Minis March Again!,DSiW,Nintendo  ,Nintendo Software Technology Corporation  ,8.1,,
Metroid II: Return of Samus,3DS,Nintendo  ,Nintendo R&D1  ,9,,
Punch-Out!! Featuring Mr. Dream,VC,Nintendo  ,Nintendo IRD  ,9,,
Sin and Punishment,VC,Nintendo  ,"Treasure Co., Ltd.  ",9,,
Starship Defense,DSiW,Nintendo  ,Q Games  ,8.5,,
Strong Bad's Cool Game for Attractive People Episode 4: Dangeresque 3: The Criminal Projective,WW,Nintendo  ,Telltale Games  ,8.7,,
Super Mario 64,VC,Nintendo  ,Nintendo EAD  ,9,,
Super Mario Bros.,VC,Nintendo  ,Nintendo EAD  ,9,,
Super Mario Bros. 2,VC,Nintendo  ,Nintendo EAD  ,8.5,,
Super Mario Bros. 3,VC,Nintendo  ,Nintendo R&D2  ,9.5,,
Super Mario RPG: Legend of the Seven Stars,VC,Nintendo  ,SquareSoft  ,9.5,,
Super Mario World,VC,Nintendo  ,Nintendo EAD  ,8.5,,
Super Metroid,VC,Nintendo  ,Intelligent Systems  ,9,,
The Legend of Zelda,VC,Nintendo  ,Nintendo EAD  ,9,,
The Legend of Zelda Collector's Edition,GC,Nintendo  ,Nintendo Software Technology Corporation  ,10,10,
The Legend of Zelda: A Link to the Past,VC,Nintendo  ,Nintendo EAD  ,9.5,,
The Legend of Zelda: Four Swords Anniversary Edition,DSiW,Nintendo  ,Nintendo  ,9,,
The Legend of Zelda: Majora's Mask,VC,Nintendo  ,Nintendo EAD  ,9.5,,
The Legend of Zelda: Ocarina of Time,VC,Nintendo  ,Nintendo EAD  ,8.9,,
The Legend of Zelda: Ocarina of Time / Master Quest,GC,Nintendo  ,Nintendo Software Technology Corporation  ,9,,
Cadence of Hyrule - Crypt of the NecroDancer feat. The Legend of Zelda,NS,Nintendo  ,Brace Yourself Games  ,9.5,,
Tokyo Mirage Sessions #FE Encore,NS,Nintendo  ,Atlus  ,,8.3,
